"","Country","Score.2015","rank.2015","Score.2016","rank.2016","Score.2017","rank.2017","Score.2018","rank.2018","Score.2019","rank.2019","Score.Mean","GDP.2015","GDP.2016","GDP.2017","GDP.2018","GDP.2019","GDP.Mean","Social.2015","Social.2016","Social.2017","Social.2018","Social.2019","Social.support.Mean","Health.2015","Health.2016","Health.2017","Health.Mean","Freedom.2015","Freedom.2016","Freedom.2017","Freedom.2018","Freedom.2019","Freedom.Mean","Generosity.2015","Generosity.2016","Generosity.2017","Generosity.2018","Generosity.2019","Generosity.Mean","Perceptions.of.corruption.2015","Perceptions.of.corruption.2016","Perceptions.of.corruption.2017","Perceptions.of.corruption.2018","Perceptions.of.corruption.2019","Perceptions.of.corruption.Mean","rank.mean"
"126","Senegal",3.904,142,4.219,128,4.53499984741211,115,4.631,109,4.681,111,3.904,0.36498,0.44314,0.479309022426605,0.429,0.45,0.36498,0.97619,0.77416,1.17969191074371,1.117,1.134,0.97619,0.4354,0.40457,0.409362852573395,0.4354,0.36772,0.31056,0.377922266721725,0.406,0.292,0.36772,0.20843,0.19103,0.183468893170357,0.138,0.153,0.20843,0.10713,0.11681,0.115460447967052,"0.082",0.072,0.10713,116.4
"127","Gabon",3.896,143,4.121,134,4.46500015258789,118,4.758,103,4.799,104,3.896,1.06024,1.15851,1.1982102394104,1.036,1.057,1.06024,0.90528,0.72368,1.1556202173233,1.164,1.183,0.90528,0.43372,0.3494,0.356578588485718,0.43372,0.31914,0.28098,0.312328577041626,0.356,0.295,0.31914,0.06822,0.06244,0.0437853783369064,0.032,0.043,0.06822,0.11091,0.09314,0.0760467872023582,"0.052",0.055,0.11091,48.2
"128","Niger",3.845,144,3.856,142,4.02799987792969,135,4.166,134,4.628,114,3.845,0.0694,0.1327,0.161925330758095,0.131,0.138,0.0694,0.77265,0.6053,0.993025004863739,0.867,0.774,0.77265,0.29707,0.26162,0.26850500702858,0.29707,0.47692,0.38041,0.36365869641304,0.39,0.318,0.47692,0.19387,0.2097,0.228673845529556,0.175,0.188,0.19387,0.15639,0.17176,0.138572946190834,"0.099",0.102,0.15639,92.8
"129","Cambodia",3.819,145,3.907,140,4.16800022125244,129,4.433,120,4.7,109,3.819,0.46038,0.55604,0.601765096187592,0.549,0.574,0.46038,0.62736,0.5375,1.00623834133148,1.088,1.122,0.62736,0.61114,0.42494,0.429783403873444,0.61114,0.66246,0.58852,0.633375823497772,0.696,0.609,0.66246,0.40359,0.40339,0.385922968387604,0.256,0.232,0.40359,0.07247,0.08092,0.0681059509515762,"0.065",0.062,0.07247,71.8
"130","Tanzania",3.781,146,3.666,149,3.34899997711182,153,3.303,153,3.231,153,3.781,0.2852,0.47155,0.511135876178741,0.455,0.476,0.2852,1.00268,0.77623,1.04198980331421,0.991,0.885,1.00268,0.38215,0.357,0.364509284496307,0.38215,0.32878,0.3176,0.390017777681351,0.481,0.417,0.32878,0.34377,0.31472,0.354256361722946,0.27,0.276,0.34377,0.05747,0.05099,0.0660351067781448,"0.097",0.147,0.05747,121.4
"131","Madagascar",3.681,147,3.695,148,3.64400005340576,144,3.774,143,3.933,143,3.681,0.20824,0.27954,0.305808693170547,0.262,0.274,0.20824,0.66801,0.46115,0.913020372390747,0.908,0.916,0.66801,0.46721,0.37109,0.375223308801651,0.46721,0.19184,0.13684,0.189196765422821,0.221,0.148,0.19184,0.21333,0.2204,0.208732530474663,0.155,0.169,0.21333,0.08124,0.07506,0.0672319754958153,"0.049",0.041,0.08124,81.6
"132","Chad",3.667,149,3.763,144,3.93600010871887,137,4.301,131,4.35,132,3.667,0.34193,0.42214,0.438012987375259,0.358,0.35,0.34193,0.76062,0.63178,0.953855872154236,0.907,0.766,0.76062,0.1501,0.03824,0.0411347150802612,0.1501,0.23501,0.12807,0.16234202682972,0.189,0.174,0.23501,0.18386,0.18667,0.216113850474358,0.181,0.198,0.18386,0.05269,0.04952,0.0535818822681904,"0.060",0.078,0.05269,18
"133","Guinea",3.656,150,3.607,151,3.50699996948242,149,3.964,140,4.534,118,3.656,0.17417,0.22415,0.244549930095673,0.344,0.38,0.17417,0.46475,0.3109,0.791244685649872,0.792,0.829,0.46475,0.24009,0.18829,0.194129139184952,0.24009,0.37725,0.30953,0.348587512969971,0.394,0.332,0.37725,0.28657,0.29914,0.264815092086792,0.185,0.207,0.28657,0.12139,0.1192,0.110937617719173,"0.094",0.086,0.12139,57.6
"134","Ivory Coast",3.655,151,3.916,139,4.17999982833862,128,4.671,107,4.944,99,3.655,0.46534,0.55507,0.603048920631409,0.541,0.569,0.46534,0.77115,0.57576,0.904780030250549,0.872,0.808,0.77115,0.15185,0.04476,0.0486421696841717,0.15185,0.46866,0.40663,0.447706192731857,0.467,0.352,0.46866,0.20165,0.20338,0.201237469911575,0.146,0.154,0.20165,0.17922,0.1553,0.130061775445938,"0.103",0.09,0.17922,62.2
"135","Burkina Faso",3.587,152,3.739,145,4.03200006484985,134,4.424,121,4.587,115,3.587,0.25812,0.31995,0.3502277135849,0.314,0.331,0.25812,0.85188,0.63054,1.04328000545502,1.097,1.056,0.85188,0.27125,0.21297,0.215844258666039,0.27125,0.39493,0.3337,0.324367851018906,0.312,0.255,0.39493,0.21747,0.24353,0.250864684581757,0.175,0.177,0.21747,0.12832,0.12533,0.120328105986118,"0.128",0.113,0.12832,22
"136","Afghanistan",3.575,153,3.36,154,3.79399991035461,141,3.632,145,3.203,154,3.575,0.31982,0.38227,0.401477217674255,0.332,0.35,0.31982,0.30285,0.11037,0.581543326377869,0.537,0.517,0.30285,0.30335,0.17344,0.180746778845787,0.30335,0.23414,0.1643,0.106179520487785,0.085,0,0.23414,0.3651,0.31268,0.311870932579041,0.191,0.158,0.3651,0.09719,0.07112,0.0611578300595284,"0.036",0.025,0.09719,3.6
"137","Rwanda",3.465,154,3.515,152,3.47099995613098,151,3.408,151,3.334,152,3.465,0.22208,0.32846,0.368745893239975,0.332,0.359,0.22208,0.7737,0.61586,0.945707023143768,0.896,0.711,0.7737,0.42864,0.31865,0.326424807310104,0.42864,0.59201,0.5432,0.581843852996826,0.636,0.555,0.59201,0.22628,0.23552,0.252756029367447,0.2,0.217,0.22628,0.55191,0.50521,0.455220013856888,"0.444",0.411,0.55191,105.6
"138","Benin",3.34,155,3.484,153,3.65700006484985,143,4.141,136,4.883,102,3.34,0.28665,0.39499,0.431085407733917,0.378,0.393,0.28665,0.35386,0.10419,0.435299843549728,0.372,0.437,0.35386,0.3191,0.21028,0.209930211305618,0.3191,0.4845,0.39747,0.425962775945663,0.44,0.349,0.4845,0.1826,0.2018,0.207948461174965,0.163,0.175,0.1826,0.0801,0.06681,0.0609290152788162,"0.067",0.082,0.0801,12
"139","Syria",3.006,156,3.069,156,3.46199989318848,152,3.462,150,3.462,149,3.006,0.6632,0.74719,0.777153134346008,0.689,0.619,0.6632,0.47489,0.14866,0.396102607250214,0.382,0.378,0.47489,0.72193,0.62994,0.50053334236145,0.72193,0.15684,0.06912,0.0815394446253777,0.088,0.013,0.15684,0.47179,0.48397,0.493663728237152,0.376,0.331,0.47179,0.18906,0.17233,0.151347130537033,"0.144",0.141,0.18906,146.4
"140","Burundi",2.905,157,2.905,157,2.90499997138977,154,2.905,156,3.775,145,2.905,0.0153,0.06831,0.091622568666935,0.091,0.046,0.0153,0.41587,0.23442,0.629793584346771,0.627,0.447,0.41587,0.22396,0.15747,0.151610791683197,0.22396,0.1185,0.0432,0.0599007532000542,0.065,0.22,0.1185,0.19727,0.2029,0.204435184597969,0.149,0.176,0.19727,0.10062,0.09419,0.0841479450464249,"0.076",0.18,0.10062,17.8
"141","Togo",2.839,158,3.303,155,3.49499988555908,150,3.999,139,4.085,139,2.839,0.20868,0.28123,0.305444717407227,0.259,0.275,0.20868,0.13995,0,0.431882530450821,0.474,0.572,0.13995,0.28443,0.24811,0.247105568647385,0.28443,0.36453,0.34678,0.38042613863945,0.434,0.293,0.36453,0.16681,0.17517,0.196896150708199,0.158,0.177,0.16681,0.10731,0.11587,0.0956650152802467,"0.101",0.085,0.10731,121
